Número de registros;Country;Date;Tmax
1;US;21/01/2016;28,9
1;US;22/01/2016;28,9
1;US;12/01/2016;29,4
1;US;22/12/2016;29,4
1;US;31/12/2016;29,4
1;US;14/01/2016;30
1;US;20/01/2016;30
1;US;09/01/2016;30,6
1;US;10/01/2016;30,6
1;US;16/01/2016;30,6
1;US;27/01/2016;30,6
1;US;30/01/2016;30,6
1;US;02/01/2016;31,1
1;US;04/01/2016;31,1
1;US;15/01/2016;31,1
1;US;24/01/2016;31,1
1;US;16/12/2016;31,1
1;US;29/12/2016;31,1
1;US;01/12/2016;31,5
1;US;03/01/2016;31,7
1;US;07/01/2016;31,7
1;US;08/01/2016;31,7
1;US;18/01/2016;31,7
1;US;26/01/2016;31,7
1;US;28/01/2016;31,7
1;US;29/01/2016;31,7
1;US;04/12/2016;31,7
1;US;05/12/2016;31,7
1;US;07/12/2016;31,7
1;US;08/12/2016;31,7
1;US;14/12/2016;31,7
1;US;21/12/2016;31,7
1;US;23/12/2016;31,7
1;US;28/12/2016;31,7
1;US;27/12/2016;31,9
1;US;19/01/2016;32,2
1;US;25/01/2016;32,2
1;US;21/11/2016;32,2
1;US;22/11/2016;32,2
1;US;23/11/2016;32,2
1;US;26/11/2016;32,2
1;US;02/12/2016;32,2
1;US;06/12/2016;32,2
1;US;13/12/2016;32,2
1;US;20/12/2016;32,2
1;US;25/12/2016;32,2
1;US;27/11/2016;32,8
1;US;18/12/2016;32,8
1;US;24/12/2016;32,8
1;US;25/03/2016;33,3
1;US;18/11/2016;33,3
1;US;19/11/2016;33,3
1;US;26/12/2016;33,3
1;US;23/02/2016;33,9
1;US;07/03/2016;33,9
1;US;27/03/2016;33,9
1;US;12/12/2016;33,9
1;US;17/12/2016;33,9
1;US;19/12/2016;33,9
1;US;22/03/2016;34,4
1;US;29/03/2016;34,4
1;US;15/11/2016;34,4
1;US;16/11/2016;34,4
1;US;17/11/2016;34,4
1;US;03/12/2016;34,4
1;US;17/02/2016;35
1;US;20/02/2016;35
1;US;21/02/2016;35
1;US;26/03/2016;35
1;US;08/04/2016;35
1;US;25/11/2016;35
1;US;08/03/2016;35,6
1;US;19/03/2016;35,6
1;US;21/03/2016;35,6
1;US;03/04/2016;35,6
1;US;04/11/2016;35,6
1;US;16/02/2016;36,1
1;US;06/03/2016;36,1
1;US;09/03/2016;36,1
1;US;16/03/2016;36,1
1;US;18/03/2016;36,1
1;US;20/03/2016;36,1
1;US;24/03/2016;36,1
1;US;02/04/2016;36,1
1;US;12/04/2016;36,1
1;US;05/11/2016;36,1
1;US;20/11/2016;36,1
1;US;15/12/2016;36,1
1;US;28/02/2016;36,7
1;US;15/03/2016;36,7
1;US;14/04/2016;36,7
1;US;02/11/2016;36,7
1;US;03/11/2016;36,7
1;US;11/11/2016;36,7
1;US;24/11/2016;36,7
